Column1.1,Column1.2
dynaplot,
LS-DYNA keyword deck by,LS-PrePost
X-displacement,
Resultant,Force
Mat/Node,Ids
         1     ,1000
     ,7373
* Minval=     6.7795999348e-04 at time=        ,0.0000000000
* Maxval=     2.3943780518e+02 at time=        ,0.0000000000
    5.0650711060e+00   ,4.5672684908e-01
    5.0850915909e+00   ,4.5832759142e-01
    5.1051111221e+00   ,4.5992830396e-01
    5.1251316071e+00   ,4.6152904630e-01
    5.1451511383e+00   ,4.6312978864e-01
    5.1651716232e+00   ,4.6473050117e-01
    5.1851911545e+00   ,4.6633124352e-01
    5.2052116394e+00   ,4.6793198586e-01
    5.2252311707e+00   ,4.6953269839e-01
    5.2452516556e+00   ,4.7113344073e-01
    5.2652711868e+00   ,4.7273415327e-01
    5.2852916718e+00   ,4.7433489561e-01
    5.3053112030e+00   ,4.7593563795e-01
    5.3253316879e+00   ,4.7753635049e-01
    5.3453512192e+00   ,4.7913709283e-01
    5.3653717041e+00   ,4.8073783517e-01
    5.3853917122e+00   ,4.8233854771e-01
    5.4054117203e+00   ,4.8393929005e-01
    5.4254317284e+00   ,4.8554003239e-01
    5.4454517365e+00   ,4.8714074492e-01
    5.4654717445e+00   ,4.8874148726e-01
    5.4854917526e+00   ,4.9034219980e-01
    5.5055117607e+00   ,4.9194374681e-01
    5.5255317688e+00   ,4.9354737997e-01
    5.5455517769e+00   ,4.9515098333e-01
    5.5655717850e+00   ,4.9675461650e-01
    5.5855917931e+00   ,4.9835824966e-01
    5.6056118011e+00   ,4.9996188283e-01
    5.6256318092e+00   ,5.0156551600e-01
    5.6456518173e+00   ,5.0316911936e-01
    5.6656718254e+00   ,5.0477278233e-01
    5.6856918335e+00   ,5.0637638569e-01
    5.7057118416e+00   ,5.0797998905e-01
    5.7257318497e+00   ,5.0958365202e-01
    5.7457518578e+00   ,5.1118725538e-01
    5.7657718658e+00   ,5.1279091835e-01
    5.7857918739e+00   ,5.1439452171e-01
    5.8058118820e+00   ,5.1599812508e-01
    5.8258318901e+00   ,5.1760178804e-01
    5.8458518982e+00   ,5.1920539141e-01
    5.8658719063e+00   ,5.2080905437e-01
    5.8858919144e+00   ,5.2241265774e-01
    5.9059119225e+00   ,5.2401626110e-01
    5.9259319305e+00   ,5.2561992407e-01
    5.9459519386e+00   ,5.2722352743e-01
    5.9659719467e+00   ,5.2882719040e-01
    5.9859919548e+00   ,5.3043079376e-01
    6.0060119629e+00   ,5.3201764822e-01
    6.0260319710e+00   ,5.3356546164e-01
    6.0460519791e+00   ,5.3511327505e-01
    6.0660719872e+00   ,5.3666108847e-01
    6.0860919952e+00   ,5.3820884228e-01
    6.1061120033e+00   ,5.3975665569e-01
    6.1261320114e+00   ,5.4130446911e-01
    6.1461520195e+00   ,5.4285228252e-01
    6.1661720276e+00   ,5.4440003633e-01
    6.1861920357e+00   ,5.4594784975e-01
    6.2062120438e+00   ,5.4749566317e-01
    6.2262320518e+00   ,5.4904347658e-01
    6.2462520599e+00   ,5.5059129000e-01
    6.2662720680e+00   ,5.5213904381e-01
    6.2862920761e+00   ,5.5368685722e-01
    6.3063120842e+00   ,5.5523467064e-01
    6.3263320923e+00   ,5.5678248405e-01
    6.3463521004e+00   ,5.5833029747e-01
    6.3663721085e+00   ,5.5987805128e-01
    6.3863921165e+00   ,5.6142586470e-01
    6.4064121246e+00   ,5.6297367811e-01
    6.4264321327e+00   ,5.6452149153e-01
    6.4464521408e+00   ,5.6606930494e-01
    6.4664721489e+00   ,5.6761705875e-01
    6.4864921570e+00   ,5.6916487217e-01
    6.5065121651e+00   ,5.7070404291e-01
    6.5265321732e+00   ,5.7222539186e-01
    6.5465521812e+00   ,5.7374674082e-01
    6.5665721893e+00   ,5.7526814938e-01
    6.5865921974e+00   ,5.7678949833e-01
    6.6066122055e+00   ,5.7831090689e-01
    6.6266322136e+00   ,5.7983225584e-01
    6.6466522217e+00   ,5.8135360479e-01
    6.6666722298e+00   ,5.8287501335e-01
    6.6866922379e+00   ,5.8439636230e-01
    6.7067122459e+00   ,5.8591777086e-01
    6.7267322540e+00   ,5.8743911982e-01
    6.7467522621e+00   ,5.8896052837e-01
    6.7667722702e+00   ,5.9048187733e-01
    6.7867922783e+00   ,5.9200322628e-01
    6.8068122864e+00   ,5.9352463484e-01
    6.8268318176e+00   ,5.9504598379e-01
    6.8468523026e+00   ,5.9656739235e-01
    6.8668723106e+00   ,5.9808874130e-01
